ratings,price,brand,color,storage,processor_type,resolution,size
4.3,188,vivo,blue,128GB,mediatek,HD,6.5
4.3,230,redmi,white,128GB,mediatek,Full HD,6.5
4.5,182,realme,black,64GB,mediatek,Full HD,6.6
4.5,218,realme,blue,128GB,qualcomm,Full HD,6.5
4.2,103,tecno,black,32GB,mediatek,HD,6.5
4.1,128,mi,grey,128GB,qualcomm,Full HD,6.7
4.3,270,vivo,gold,64GB,qualcomm,HD,6.0
4.3,255,oppo,silver,128GB,qualcomm,Full HD,6.4
4.2,164,infinix,blue,128GB,mediatek,Full HD,6.8
4.3,115,samsung,black,32GB,qualcomm,HD,6.5
4.2,352,xiaomi,black,128GB,mediatek,Full HD,6.7
4.4,133,redmi,gold,32GB,qualcomm,Full HD,6.0
4.1,133,tecno,black,128GB,mediatek,HD,6.8
4.2,194,mi,blue,128GB,qualcomm,HD,6.1
4.3,255,samsung,black,64GB,samsung,4K,6.4
4.3,108,tecno,purple,64GB,mediatek,HD,6.6
4.2,145,redmi,black,128GB,mediatek,HD,6.5
4.1,277,redmi,blue,128GB,intel,Full HD,6.7
4.2,328,redmi,black,256GB,mediatek,Full HD,6.7
4.3,206,vivo,black,128GB,qualcomm,Full HD,6.6
4.4,291,oppo,white,128GB,mediatek,4K,6.5
4.3,290,samsung,black,128GB,intel,4K,6.5
4.4,109,redmi,blue,32GB,qualcomm,HD,6.2
4.3,109,infinix,blue,128GB,mediatek,HD,6.6
4.3,134,samsung,silver,256GB,qualcomm,4K,7.6
4.1,127,tecno,gold,64GB,mediatek,HD,6.3
4.3,401,oppo,blue,256GB,mediatek,Full HD,6.7
4.5,273,vivo,black,256GB,mediatek,Full HD,6.8
4.2,182,samsung,blue,64GB,mediatek,HD,6.5
4.1,145,motorola,silver,128GB,qualcomm,Full HD,6.5
4.2,169,tecno,black,128GB,mediatek,4K,6.8
4.3,243,oppo,white,128GB,mediatek,Full HD,6.4
3.8,134,motorola,blue,64GB,mediatek,HD,6.5
4.3,182,infinix,blue,64GB,mediatek,HD,7.0
4.4,291,vivo,black,128GB,qualcomm,Full HD,6.4
4.4,104,oneplus,green,128GB,intel,2K,6.7
4.2,116,redmi,blue,128GB,mediatek,HD,6.7
4.2,360,oneplus,black,256GB,intel,4K,6.7
4.3,267,vivo,black,128GB,qualcomm,Full HD,6.6
4.4,316,vivo,gold,256GB,qualcomm,Full HD,6.4
4.0,162,samsung,blue,128GB,intel,Full HD,6.4
4.2,171,redmi,green,64GB,intel,Full HD,6.6
4.5,218,vivo,blue,64GB,qualcomm,Full HD,6.5
4.2,125,redmi,black,64GB,mediatek,HD,6.5
4.4,194,oppo,black,128GB,mediatek,HD,6.5
4.3,358,samsung,black,256GB,qualcomm,Full HD,6.6
4.1,108,tecno,blue,64GB,mediatek,HD,6.6
4.3,188,samsung,blue,128GB,qualcomm,Full HD,6.6
4.6,371,realme,green,128GB,qualcomm,Full HD,6.6
4.3,364,oppo,blue,256GB,mediatek,Full HD,6.4
4.5,273,vivo,blue,256GB,mediatek,Full HD,6.8
4.3,206,realme,black,128GB,mediatek,Full HD,6.6
4.1,395,samsung,blue,128GB,samsung,Full HD,6.5
4.4,121,oppo,blue,32GB,mediatek,HD,6.2
4.3,376,oneplus,blue,128GB,intel,Full HD,6.7
4.2,173,samsung,blue,64GB,samsung,Full HD,6.4
4.0,395,oppo,silver,256GB,mediatek,Full HD,6.7
4.2,303,redmi,blue,256GB,intel,Full HD,6.7
4.1,206,samsung,black,128GB,mediatek,HD,6.5
4.2,291,xiaomi,green,128GB,mediatek,Full HD,6.7
4.4,129,redmi,gold,32GB,qualcomm,Full HD,5.5
4.1,194,redmi,gold,128GB,qualcomm,Full HD,6.7
4.3,364,oppo,gold,128GB,qualcomm,Full HD,6.7
4.2,115,oneplus,green,128GB,intel,2K,6.7
4.2,255,redmi,black,128GB,mediatek,Full HD,6.6
4.4,176,samsung,black,128GB,samsung,Full HD,6.4
4.4,194,realme,black,64GB,mediatek,Full HD,6.5
4.5,172,tecno,blue,128GB,intel,HD,6.6
4.3,206,realme,blue,128GB,mediatek,Full HD,6.6
4.2,133,motorola,silver,64GB,qualcomm,Full HD,6.5
4.2,133,infinix,black,32GB,qualcomm,HD,6.2
4.6,352,oneplus,blue,256GB,qualcomm,Full HD,6.5
4.5,303,samsung,black,128GB,intel,4K,6.4
4.6,115,samsung,blue,32GB,qualcomm,HD,6.2
4.3,127,vivo,blue,32GB,qualcomm,HD,6.5
4.3,218,oneplus,grey,128GB,intel,Full HD,6.4
4.5,145,vivo,blue,64GB,qualcomm,Full HD,6.6
4.3,267,oppo,purple,128GB,qualcomm,HD,6.5
4.2,133,tecno,blue,128GB,mediatek,HD,6.6
4.2,224,redmi,blue,128GB,intel,Full HD,6.6
4.3,188,vivo,blue,64GB,qualcomm,HD,6.5
3.9,121,motorola,blue,128GB,mediatek,HD,6.5
4.2,364,redmi,white,256GB,mediatek,Full HD,6.7
4.5,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.4,206,vivo,black,128GB,qualcomm,Full HD,6.6
4.2,144,redmi,purple,128GB,mediatek,HD,6.5
4.1,157,tecno,black,128GB,mediatek,Full HD,6.8
4.4,370,samsung,white,128GB,qualcomm,Full HD,6.5
4.4,279,oppo,white,128GB,mediatek,Full HD,6.4
4.3,206,realme,black,128GB,mediatek,Full HD,6.4
4.3,182,mi,grey,64GB,qualcomm,HD,6.1
4.4,437,oppo,blue,128GB,mediatek,Full HD,6.5
4.1,280,samsung,black,128GB,intel,4K,6.7
4.2,109,infinix,black,64GB,mediatek,HD,6.8
4.3,121,redmi,blue,64GB,qualcomm,HD,6.7
4.6,395,oppo,silver,256GB,mediatek,Full HD,6.7
4.1,170,samsung,blue,64GB,samsung,Full HD,6.4
4.3,218,oppo,blue,128GB,mediatek,HD,6.5
4.3,230,samsung,green,256GB,qualcomm,4K,7.6
4.4,361,vivo,black,128GB,intel,Full HD,6.6
4.3,127,samsung,black,64GB,samsung,HD,6.5
3.9,133,motorola,blue,64GB,mediatek,HD,6.5
4.4,362,oppo,black,128GB,mediatek,Full HD,6.4
4.2,212,mi,blue,128GB,qualcomm,Full HD,6.5
4.3,178,redmi,gold,128GB,intel,Full HD,6.7
4.3,170,samsung,black,64GB,samsung,HD,6.5
4.0,133,oppo,blue,32GB,mediatek,HD,6.5
4.2,303,redmi,purple,128GB,mediatek,Full HD,6.7
4.3,184,samsung,black,128GB,intel,4K,6.4
4.2,182,samsung,white,128GB,samsung,Full HD,6.6
4.2,133,vivo,black,64GB,mediatek,HD,6.5
4.3,322,samsung,purple,128GB,samsung,Full HD,6.4
4.1,139,samsung,blue,64GB,intel,4K,6.4
4.1,116,redmi,grey,32GB,intel,HD,6.5
4.4,182,vivo,black,128GB,qualcomm,Full HD,6.6
4.1,371,samsung,blue,128GB,intel,4K,6.7
4.2,322,oneplus,black,256GB,intel,Full HD,6.7
4.4,273,realme,white,256GB,mediatek,Full HD,6.7
4.5,253,oneplus,silver,256GB,intel,Full HD,6.7
4.2,156,redmi,black,128GB,intel,Full HD,6.7
4.4,335,oneplus,grey,128GB,intel,Full HD,6.7
4.2,109,infinix,blue,64GB,mediatek,HD,6.8
4.4,156,samsung,green,32GB,qualcomm,HD,6.5
4.3,371,realme,white,128GB,qualcomm,Full HD,6.6
4.5,121,samsung,black,64GB,samsung,HD,5.6
4.4,170,redmi,black,64GB,qualcomm,Full HD,6.3
4.2,108,tecno,blue,64GB,mediatek,4K,6.6
4.2,171,redmi,black,64GB,intel,Full HD,6.6
3.9,170,samsung,green,64GB,samsung,Full HD,6.6
4.4,243,oppo,black,32GB,mediatek,Full HD,6.0
4.5,194,oppo,black,64GB,qualcomm,HD,6.5
4.2,303,xiaomi,purple,128GB,mediatek,Full HD,6.7
4.0,371,oneplus,green,256GB,intel,Full HD,6.7
4.2,133,redmi,blue,128GB,qualcomm,HD,6.7
4.4,145,realme,blue,64GB,qualcomm,HD,6.5
4.1,170,samsung,green,128GB,intel,HD,6.5
4.4,224,redmi,blue,128GB,mediatek,Full HD,6.4
4.3,167,tecno,blue,256GB,mediatek,4K,6.7
4.3,230,vivo,blue,128GB,mediatek,HD,6.5
4.0,310,mi,white,256GB,qualcomm,Full HD,6.7
4.2,121,infinix,blue,64GB,mediatek,Full HD,6.7
4.3,145,realme,silver,32GB,mediatek,HD,6.5
